is_primary_nan,total_area,basement,elevator,balcony,property_level,heating_type_nan,balcony_nan,row_price_m2,total_property_level,parking_nan,url,building_type_nan,building_year,heating_type,price,is_primary,total_property_level_nan,elevator_nan,id,is_parking,no_rooms,district_norm,building_type,property_level_nan,building_year_nan,portal_name,basement_nan
0,91.0,1,1,0,4,0,0,16862,5,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-antoniego-edwarda-odynca-91m2-mzn2043488582,0,1953,urban,1540000.0,0,0,0,mzn2043488582,1,4,mokotow,tenement,0,0,morizon,0
0,70.0,0,1,1,3,1,0,22125,5,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bielany-70m2-mzn2043510596,0,2022,UNKNOWN,1560000.0,0,0,0,mzn2043510596,1,3,bielany,apartment,0,0,morizon,0
0,76.0,0,1,1,5,0,0,21484,7,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-obrzezna-76m2-mzn2043440247,0,2012,central,1650000.0,0,0,0,mzn2043440247,1,4,mokotow,apartment,0,0,morizon,0
0,86.0,1,1,1,1,0,0,19302,5,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ursynow-nugat-86m2-mzn2043492774,0,2004,central,1660000.0,0,0,0,mzn2043492774,1,4,ursynow,apartment,0,0,morizon,0
0,99.0,1,0,1,1,0,0,18081,1,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-praga-poludnie-nasielska-99m2-mzn2043366512,0,1937,gas,1790000.0,0,0,0,mzn2043366512,1,3,praga poludnie,tenement,0,0,morizon,0
0,25.0,0,0,0,1,0,0,15160,2,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wlochy-starowiejska-25m2-mzn2043406920,1,2023,gas,379000.0,0,0,0,mzn2043406920,1,1,wlochy,UNKNOWN,0,0,morizon,0
0,24.0,0,0,0,100,0,0,19542,100,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wlochy-starowiejska-24m2-mzn2043444887,1,2023,gas,469000.0,0,1,0,mzn2043444887,1,1,wlochy,UNKNOWN,1,0,morizon,0
0,37.0,0,0,0,100,0,0,19542,100,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wawer-korkowa-37m2-mzn2043510648,1,2023,gas,469000.0,0,1,0,mzn2043510648,1,1,wawer,UNKNOWN,1,0,morizon,0
0,37.0,1,1,0,2,1,0,15405,9,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wlochy-1-sierpnia-37m2-mzn2043444066,0,2004,UNKNOWN,570000.0,0,0,0,mzn2043444066,1,2,wlochy,block,0,1,morizon,0
0,38.0,0,0,0,100,1,0,15000,100,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wlochy-1-sierpnia-38m2-mzn2043236089,1,1970,UNKNOWN,570000.0,0,1,0,mzn2043236089,1,2,wlochy,UNKNOWN,1,0,morizon,0
